0x00 0x00 0x00 0x00 0x50 0x35 0x30 0x00 0x00 0x00 0x28 0x29 0x27 0x28 0x00 0x33 0x23 0x2F 0x32 0x25 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
0x00 0x00 0x00 0x00 0x00 0x00 0x10 0x10 0x00 0x00 0x00 0x00 0x00 0x15 0x10 0x10 0x10 0x10 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
0x00 0x00 0xA2 0xA3 0xA3 0xA3 0xD2 0xD3 0xD4 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xD2 0xD3 0xD4 0xA3 0xA3 0xA3 0xA4 0x00 0x00 
0x00 0x00 0xB2 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xB3 0x00 0x00 
0x00 0x00 0xD5 0xa8 0xa9 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xD6 0x00 0x00 
0x00 0x00 0xE5 0xa8 0xa9 0xb8 0xb9 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xE6 0x00 0x00 
0x00 0x00 0xF5 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xF6 0x00 0x00 
0x00 0x00 0xB2 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xb8 0xb9 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xC7 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xb8 0xb9 0xa8 0xa9 0xa8 0xa9 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xC6 0xB3 0x00 0x00 
